Ticker,Sector,Window,Window_Days,N_Folds,N_Test_Samples,F1_Baseline,F1_Enhanced,Lift_%,Precision_Baseline,Precision_Enhanced,Recall_Baseline,Recall_Enhanced,DM_Stat,P_Value,Significant_Alpha?
COMI.CA,Banking,Tactical,378,94,5922,0.4865903717077512,0.4536881006977943,-6.761800669109455,0.48096351180637387,0.4793526763160214,0.5262313152939506,0.4879402819379573,0.17553713334012588,0.8606635980573409,No
COMI.CA,Banking,Strategic,756,88,5544,0.5152938557312932,0.49934739780902393,-3.094633818142152,0.4969686828681473,0.5088441014501363,0.5619709424617283,0.5544407860695725,0.4386434875780721,0.6609369766209152,No
EAST.CA,Consumer,Reactionary,126,98,6048,0.42405580318160485,0.40001995738241414,-5.668085572430474,0.4260015375591244,0.41436508237254216,0.4680827847706385,0.4447724529572549,-1.51044872409551,0.13098121395710827,No
EAST.CA,Consumer,Tactical,378,94,5922,0.446264666279755,0.44310895929438965,-0.7071379886901177,0.4348262087657309,0.4278469969021943,0.4961532966570269,0.5053620434078606,-0.1818719964086094,0.8556894073285006,No
EAST.CA,Consumer,Strategic,756,88,5544,0.46293690358673395,0.4550250880373564,-1.7090483580113218,0.44063567773964246,0.4418927942251077,0.5111938813837683,0.5206653607380194,-1.7188001152493786,0.08570661046600447,No
EFID.CA,Consumer,Reactionary,126,40,2520,0.38135660585681874,0.33131032598102306,-13.123223541218973,0.352466384992541,0.3569179370534489,0.43824131486718143,0.40490618317800475,-0.9632561060906437,0.33551147317989516,No
EFID.CA,Consumer,Tactical,378,36,2268,0.3968789410720108,0.3756876131258592,-5.339494176463907,0.4117029687163178,0.3947174691421418,0.44104092399374256,0.5000358682585069,-5.6032567350000955,2.358810879954376e-08,Yes
EFID.CA,Consumer,Strategic,756,30,1890,0.4304862029103363,0.43323151085416595,0.6377226320541245,0.38027009075752727,0.37525541697412845,0.5295375503247947,0.6024538777514117,-4.284758964244843,1.921372297597479e-05,Yes
EFIH.CA,Financial Services,Reactionary,126,14,882,0.4891755775055989,0.45513051997342596,-6.959680551873687,0.482172643597946,0.45817471426937917,0.5297777954403112,0.5139836863446472,-0.5276164368016621,0.5978984302314831,No
EFIH.CA,Financial Services,Tactical,378,10,630,0.46379646353016935,0.4797385308368643,3.4372981599196564,0.48720598558529604,0.5028674140902709,0.48998508069197727,0.5170637553697899,-0.7720956566385447,0.4403477622267231,No
EFIH.CA,Financial Services,Strategic,756,4,252,0.4214523973213149,0.3836238782057065,-8.975751319968882,0.4547811059907834,0.4471603956898075,0.4290625,0.4242834595959596,-1.5416124740770671,0.12442755289849172,No
EKHO.CA,Holdings,Reactionary,126,92,5796,0.393047812380328,0.3730235409009352,-5.094614662303868,0.3934542315422353,0.3805019145810898,0.4447094462102558,0.42103502690222977,1.125378823909008,0.2604751469146518,No
EKHO.CA,Holdings,Tactical,378,88,5544,0.39563012859672936,0.3874546361766583,-2.0664483893248735,0.39596147585125424,0.3994407172803678,0.4448239846737204,0.4359334781703851,0.29459604614718593,0.7683135148237312,No
EKHO.CA,Holdings,Strategic,756,82,5166,0.40320493965484283,0.3828742462154675,-5.04227290885352,0.4073087946801414,0.40817416460785677,0.4450369781083239,0.4353913745786311,0.3685414360857696,0.7124846587110314,No
EMFD.CA,Real Estate,Reactionary,126,39,2457,0.4056710957987442,0.3887290938587239,-4.176290131457961,0.41448900408102446,0.4063268538898837,0.4282438373910303,0.4597539055734477,1.3339461562238277,0.18234518431961222,No
EMFD.CA,Real Estate,Tactical,378,35,2205,0.4238240997367195,0.4308103930760194,1.6483945447273658,0.4539094174082689,0.43477936144819956,0.4156610776214494,0.48372862280510365,-0.7207519817357577,0.47113856158600353,No
EMFD.CA,Real Estate,Strategic,756,29,1827,0.43074261898649446,0.45485926073474825,5.598852002385661,0.45793288564547935,0.4532060526483435,0.42237006444958436,0.5080751446288888,-1.4846260218535965,0.1378155171456843,No
