Ticker,Samples,Train,Val,Test,Endo_Features,Exo_Features,Endo_F1,Endo_Precision,Endo_Recall,Endo_Threshold,Exo_F1,Exo_Precision,Exo_Recall,Exo_Threshold,F1_Lift,Exo_Better,DM_Stat,P_Value,Significant
HELI.CA,2229,1560,334,335,29,53,0.6939571150097466,0.5313432835820896,1.0,0.3,0.6939571150097466,0.5313432835820896,1.0,0.3,0.0,False,0.7219715016972761,0.4708171404045236,False
HRHO.CA,2193,1535,328,330,29,53,0.7159533073929961,0.5575757575757576,1.0,0.3,0.7159533073929961,0.5575757575757576,1.0,0.3,0.0,False,0.5866032096112956,0.5578724965003503,False
ISPH.CA,759,531,113,115,29,53,0.776595744680851,0.6347826086956522,1.0,0.3,0.7608695652173914,0.6306306306306306,0.958904109589041,0.4000000000000001,-0.020250148898153544,False,-0.2275437354383586,0.8204085521840649,False
JUFO.CA,1364,954,204,206,29,53,0.6496350364963503,0.5426829268292683,0.8090909090909091,0.46000000000000013,0.6962025316455697,0.5339805825242718,1.0,0.3,0.07168254871284323,True,0.17690060379119388,0.8597611149785849,False
MASR.CA,2038,1426,305,307,29,53,0.7100840336134454,0.5504885993485342,1.0,0.3,0.7100840336134454,0.5504885993485342,1.0,0.3,0.0,False,-0.9673859456239235,0.33411508454292616,False
MFPC.CA,819,573,122,124,29,53,0.6440677966101694,0.4789915966386555,0.9827586206896551,0.38000000000000006,0.6256983240223464,0.4628099173553719,0.9655172413793104,0.46000000000000013,-0.02852102322846213,False,1.1126515043703835,0.2680279779299217,False
OCDI.CA,2244,1570,336,338,29,53,0.6653465346534654,0.5014925373134328,0.9882352941176471,0.48000000000000015,0.6692913385826772,0.5029585798816568,1.0,0.3,0.005928946381702282,True,1.74790299047344,0.0813915335470361,False
ORHD.CA,1261,882,189,190,29,53,0.7290969899665551,0.5736842105263158,1.0,0.3,0.7290969899665551,0.5736842105263158,1.0,0.3,0.0,False,1.5748712953976132,0.11695857214947214,False
PHDC.CA,1676,1173,251,252,29,53,0.746268656716418,0.5952380952380952,1.0,0.3,0.74,0.592,0.9866666666666667,0.3,-0.00840000000000007,False,-0.7418683287428776,0.45886072360663754,False
SAUD.CA,1926,1348,288,290,29,53,0.6187845303867403,0.5957446808510638,0.6436781609195402,0.34,0.7276995305164319,0.6150793650793651,0.8908045977011494,0.48000000000000015,0.176014419852448,True,4.534025931288394,8.486414400765696e-06,True
SKPC.CA,1709,1196,256,257,29,53,0.6887755102040817,0.5252918287937743,1.0,0.48000000000000015,0.6887755102040817,0.5252918287937743,1.0,0.3,0.0,False,0.34125638751095716,0.7331905015341396,False
SWDY.CA,1732,1212,259,261,29,53,0.7070707070707071,0.56,0.958904109589041,0.3,0.702020202020202,0.556,0.952054794520548,0.4200000000000001,-0.007142857142857189,False,1.745760656855858,0.08203375890800246,False
