Ticker,Samples,Test_Size,Model_A_F1,Model_B_F1,Model_A_Precision,Model_B_Precision,Model_A_Recall,Model_B_Recall,F1_Lift,Model_A_AUC,Model_B_AUC,DM_Stat,P_Value,Significant,Thresh_A,Thresh_B
HELI.CA,5861,1172,0.7675675675675676,0.6822510822510822,0.7308823529411764,0.7296296296296296,0.808130081300813,0.640650406504065,-0.11115175903908307,0.8279196041511583,0.7683029002641911,-6.702095603024017,3.185851582543364e-11,True,0.20129222574376085,0.3284774116510035
HRHO.CA,5815,1163,0.6483412322274882,0.5691699604743083,0.8123515439429929,0.7619047619047619,0.5394321766561514,0.45425867507886436,-0.12211358435614726,0.7862313871181265,0.7450728414423978,-15.143003809187482,0.0,True,0.30343913456645316,0.018970664751733025
ISPH.CA,1951,390,0.7300884955752213,0.7600849256900213,0.8375634517766497,0.8287037037037037,0.6470588235294118,0.7019607843137254,0.041086019429968514,0.796717501815541,0.7804793028322439,-3.1979443609846334,0.0014974199469033334,True,0.450245584151872,0.22947724181075316
JUFO.CA,3758,751,0.7526315789473684,0.6993197278911565,0.8881987577639752,0.8653198653198653,0.6529680365296804,0.58675799086758,-0.0708339279767851,0.8574335857149109,0.8204443666389485,-6.222086200393562,8.152867270183606e-10,True,0.37799400944873723,0.36588695726557274
MASR.CA,5497,1099,0.7610062893081762,0.7004694835680751,0.711764705882353,0.7885835095137421,0.8175675675675675,0.6300675675675675,-0.07954836456757074,0.8086751692520924,0.8024881390266005,-7.348857849344093,3.894662370385049e-13,True,0.2737561712353032,0.13913321292419592
MFPC.CA,2261,452,0.6584158415841584,0.6050420168067226,0.6129032258064516,0.4411764705882353,0.7112299465240641,0.9625668449197861,-0.0810640045491882,0.7736656240540813,0.7460195742104732,-8.65261912604929,2.220446049250313e-16,True,0.5373246081694169,0.26070682447771054
OCDI.CA,5902,1180,0.7197231833910035,0.6311475409836066,0.7619047619047619,0.8415300546448088,0.6819672131147541,0.5049180327868853,-0.12306904161412358,0.7980788035662927,0.7912625826862237,-2.7618141894176107,0.00583738728554728,True,0.374537898109576,0.6717855792716441
ORAS.CA,131,26,0.5555555555555556,0.5555555555555556,1.0,1.0,0.38461538461538464,0.38461538461538464,0.0,0.5,0.5,0.9379475252151334,0.3572452190172264,False,0.9997800339272247,0.9998814758342364
ORHD.CA,3208,641,0.7094594594594594,0.5664739884393064,0.8713692946058091,0.875,0.5982905982905983,0.4188034188034188,-0.20154142581888237,0.8384320660182729,0.8047745358090186,-2.5314914700727833,0.011596089890159256,True,0.38184156539586445,0.5694830397768428
PHDC.CA,4296,859,0.7130044843049327,0.6716791979949874,0.8050632911392405,0.8903654485049833,0.6398390342052314,0.5392354124748491,-0.057959363818350894,0.7863368053625621,0.8146114254588303,-6.1352616256510135,1.2970426954694858e-09,True,0.32908751592559005,0.1598774656058281
SAUD.CA,5689,1137,0.29419354838709677,0.42890995260663506,0.926829268292683,0.9427083333333334,0.17484662576687116,0.2776073619631902,0.4579176020620271,0.8002023907406236,0.8075264056669408,5.692545331404247,1.5921657992024052e-08,True,0.375336606871387,0.2779233167700229
SKPC.CA,4990,998,0.7854477611940298,0.7217125382262997,0.8174757281553398,0.8349056603773585,0.755834829443447,0.6355475763016158,-0.08114508197316714,0.8341902889222714,0.8295167259004139,-1.8855191479962168,0.05965033442430112,False,0.2470279211831372,0.42554049037660924
SWDY.CA,4768,953,0.7318548387096774,0.7054026503567788,0.7995594713656388,0.781038374717833,0.6747211895910781,0.6431226765799256,-0.03614403697806521,0.8078022125677431,0.7957047520938774,-6.021512575607502,2.4648438845531473e-09,True,0.17636423687482095,0.08781233323299759
