Ticker,Sector,Window,Window_Weeks,N_Folds,N_Test,F1_Tech,AUC_Tech,Precision_Tech,Recall_Tech,F1_Enhanced,AUC_Enhanced,Precision_Enhanced,Recall_Enhanced,F1_Lift_%,AUC_Lift_%,DM_Stat,P_Value,Significant
CLHO.CA,Healthcare,Medium,52,32,416,0.3368440128090864,0.4861607142857143,0.37011408730158735,0.3563368055555556,0.4143251874651836,0.5237847222222223,0.43912511100011103,0.450297619047619,23.002093464553084,7.739006223854722,2.3517906437218743,0.019149862508682114,Yes
CLHO.CA,Healthcare,Long,104,28,364,0.43044594294594296,0.5236819727891157,0.5334467120181406,0.41547619047619044,0.4716836001361653,0.5154761904761905,0.5104231086373943,0.5092687074829932,9.580217415453978,-1.5669400016237633,0.6294368968459122,0.5294590074006016,No
COMI.CA,Banking,Short,26,98,1222,0.49630389088840426,0.5457659804734272,0.5575659269808205,0.5355895581959411,0.5362851664470464,0.5376277977341806,0.5555106241276454,0.5922335052654202,8.055805383083738,-1.4911487762918274,2.7787750258190944,0.005540077782114405,Yes
COMI.CA,Banking,Medium,52,96,1235,0.4824216670118576,0.48835042150831626,0.5379795935059094,0.516330599225336,0.504980045482734,0.5519621022252601,0.5488868733605575,0.54839447102605,4.676070751673331,13.025826929865888,3.9669159545008026,7.699840000796598e-05,Yes
COMI.CA,Banking,Long,104,92,1196,0.5225941439395472,0.5226339481774265,0.5602524890568369,0.562926626513583,0.5686214347078864,0.5551116757638497,0.586533967240489,0.626021864608821,8.807463937763448,6.214239947420617,2.9035825668894955,0.0037570047161816778,Yes
EAST.CA,Consumer,Short,26,98,1235,0.4691924590898031,0.5280420748841801,0.5107857639436586,0.5373980405559353,0.4696648796860626,0.5249973418394471,0.4922528348844138,0.5546673501936659,0.10068801983218548,-0.5766080374183796,1.9436447106490768,0.052165400647248505,No
EAST.CA,Consumer,Medium,52,96,1235,0.5064130189801633,0.5151727804359384,0.5423320539110013,0.5714851522746259,0.49974459836688934,0.5279095465937571,0.5265363583784636,0.5759607351712615,-1.3167948617717515,2.4723290207686985,0.642192162984245,0.5208677027176516,No
EAST.CA,Consumer,Long,104,92,1196,0.4866992804013265,0.5077228025597591,0.5162738227955619,0.5316966246314072,0.49069314851553375,0.526661020139281,0.5129154661763357,0.5504979923458183,0.8206028393783467,3.730030931059635,0.8174330798496152,0.41384392123614466,No
EFID.CA,Consumer,Short,26,41,533,0.389185030487983,0.5553584626755358,0.4204319393343784,0.46875725900116144,0.35457494505293335,0.5208443318199416,0.3968711505296871,0.44558652729384435,-8.892964200512406,-6.2147483427760095,1.6752968951254534,0.09446361491006283,No
EFID.CA,Consumer,Medium,52,39,507,0.3400714515741903,0.4923141673141673,0.36156621156621155,0.41437728937728935,0.37468649584034197,0.5352971102971102,0.43311133311133304,0.43580586080586087,10.178756289573473,8.730795462872324,2.151327166037031,0.03192306769947484,Yes
EFID.CA,Consumer,Long,104,35,455,0.3510999318142175,0.5213656977942692,0.3892888064316635,0.37346938775510197,0.3508062945457904,0.5430735930735929,0.427437641723356,0.3658163265306122,-0.08363353046234813,4.163660051123969,1.0314258577939834,0.3028903016965445,No
